Time (CET),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:00 AM,0,0,0,64%,1029 hPa,12 km,North,3.7 km/h		/  ,0,0,	 ,
12:55 AM,0,0,0,75%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
1:00 AM,0,0,0,68%,1028 hPa,11 km,Calm,Calm,0,0,	 ,
1:55 AM,0,0,0,80%,1027 hPa,0,NE,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
2:00 AM,0,0,0,74%,1028 hPa,10 km,NE,3.7 km/h		/  ,0,0,	 ,
2:55 AM,0,0,0,80%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
3:00 AM,0,0,0,76%,1028 hPa,10 km,Calm,Calm,0,0,	 ,
3:55 AM,0,0,0,93%,1026 hPa,0,NNW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
4:00 AM,0,0,0,84%,1027 hPa,10 km,NNW,3.7 km/h		/  ,0,0,	 ,
4:55 AM,0,0,0,93%,1025 hPa,0,NW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
5:00 AM,0,0,0,91%,1026 hPa,10 km,NW,3.7 km/h		/  ,0,0,	 ,
5:55 AM,0,0,0,86%,1025 hPa,0,North,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
6:00 AM,0,0,0,77%,1026 hPa,10 km,North,9.3 km/h		/  ,0,0,	 ,
6:55 AM,0,0,0,80%,1024 hPa,0,Calm,Calm,0,N/A,	 ,Clear
7:00 AM,0,0,0,79%,1025 hPa,12 km,Calm,Calm,0,0,	 ,
7:55 AM,0,0,0,86%,1024 hPa,0,NNW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
8:00 AM,0,0,0,89%,1025 hPa,20 km,NNW,5.6 km/h		/  ,0,0,	 ,
8:55 AM,0,0,0,80%,1024 hPa,0,NW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
9:00 AM,0,0,0,75%,1025 hPa,25 km,NW,5.6 km/h		/  ,0,0,	 ,
9:55 AM,3.0 °C,0,0,75%,1024 hPa,0,Calm,Calm,0,N/A,	 ,Clear
10:00 AM,3 °C,0,0,69%,1025 hPa,25 km,Calm,Calm,0,0,	 ,
10:55 AM,6.0 °C,0,0,61%,1024 hPa,0,Calm,Calm,0,N/A,	 ,Clear
11:00 AM,6 °C,0,0,47%,1024 hPa,25 km,Calm,Calm,0,0,	 ,
11:55 AM,9.0 °C,0,0,37%,1023 hPa,0,Calm,Calm,0,N/A,	 ,Clear
12:00 PM,9 °C,0,0,25%,1024 hPa,30 km,Calm,Calm,0,0,	 ,
12:55 PM,10.0 °C,0,0,32%,1023 hPa,0,Calm,Calm,0,N/A,	 ,Clear
1:00 PM,10 °C,0,0,20%,1023 hPa,25 km,Calm,Calm,0,0,	 ,
1:55 PM,10.0 °C,0,0,35%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
2:00 PM,10 °C,0,0,21%,1022 hPa,20 km,Calm,Calm,0,0,	 ,
2:55 PM,10.0 °C,0,0,32%,1022 hPa,0,SW,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Clear
3:00 PM,10 °C,0,0,20%,1022 hPa,15 km,SW,7.4 km/h		/  ,0,0,	 ,
3:55 PM,9.0 °C,0,0,37%,1022 hPa,0,SW,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Clear
4:00 PM,9 °C,0,0,24%,1022 hPa,15 km,SW,7.4 km/h		/  ,0,0,	 ,
4:55 PM,5.0 °C,0,0,45%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
5:00 PM,5 °C,0,0,29%,1022 hPa,12 km,Calm,Calm,0,0,	 ,
5:55 PM,2.0 °C,0,0,52%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
6:00 PM,2 °C,0,0,38%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
6:55 PM,1.0 °C,0,0,75%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
7:00 PM,1 °C,0,0,68%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
7:55 PM,0,0,0,93%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
8:00 PM,0,0,0,81%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
8:55 PM,0,0,0,86%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
9:00 PM,0,0,0,85%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
9:55 PM,0,0,0,93%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
10:00 PM,0,0,0,95%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
10:55 PM,0,0,0,93%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
11:00 PM,0,0,0,95%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
11:55 PM,0,0,0,100%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
12:00 AM,0,0,0,100%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
12:55 AM,0,0,0,100%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
1:00 AM,0,0,0,98%,1023 hPa,10 km,Calm,Calm,0,0,	 ,
1:55 AM,0,0,0,100%,1022 hPa,8.0 km,Calm,Calm,0,N/A,	 ,Unknown
2:00 AM,0,0,0,98%,1023 hPa,8 km,Calm,Calm,0,0,	 ,Mist
2:55 AM,0,0,0,100%,1022 hPa,6.0 km,Calm,Calm,0,N/A,	 ,Unknown
3:00 AM,0,0,0,98%,1023 hPa,6 km,Calm,Calm,0,0,	 ,Mist
3:55 AM,0,0,0,100%,1022 hPa,6.0 km,Calm,Calm,0,N/A,	 ,Unknown
4:00 AM,0,0,0,98%,1023 hPa,6 km,Calm,Calm,0,0,	 ,Mist
4:55 AM,0,0,0,100%,1022 hPa,7.0 km,Calm,Calm,0,N/A,	 ,Unknown
5:00 AM,0,0,0,98%,1022 hPa,7 km,Calm,Calm,0,0,	 ,Mist
5:55 AM,0,0,0,93%,1021 hPa,6.0 km,Calm,Calm,0,N/A,	 ,Unknown
6:00 AM,0,0,0,92%,1022 hPa,6 km,Calm,Calm,0,0,	 ,Mist
6:55 AM,0,0,0,100%,1021 hPa,6.0 km,Calm,Calm,0,N/A,	 ,Unknown
7:00 AM,0,0,0,92%,1022 hPa,6 km,Calm,Calm,0,0,	 ,Mist
7:55 AM,0,0,0,93%,1021 hPa,9.0 km,Calm,Calm,0,N/A,	 ,Unknown
8:00 AM,0,0,0,94%,1022 hPa,9 km,Calm,Calm,0,0,	 ,Mist
8:55 AM,0,0,0,100%,1021 hPa,0,NNW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
9:00 AM,0,0,0,98%,1022 hPa,12 km,NNW,3.7 km/h		/  ,0,0,	 ,
9:55 AM,0.0 °C,0,0,93%,1021 hPa,0,WNW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
10:00 AM,0 °C,0,0,87%,1022 hPa,11 km,WNW,3.7 km/h		/  ,0,0,	 ,
10:55 AM,3.0 °C,0,2.0 °C,93%,1021 hPa,9.0 km,NNE,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Unknown
