64%,1029 hPa,3.0 °C
75%,1027 hPa,3 °C
68%,1028 hPa,6.0 °C
80%,1027 hPa,6 °C
74%,1028 hPa,9.0 °C
80%,1027 hPa,9 °C
76%,1028 hPa,10.0 °C
93%,1026 hPa,10 °C
84%,1027 hPa,10.0 °C
93%,1025 hPa,10 °C
91%,1026 hPa,10.0 °C
86%,1025 hPa,10 °C
77%,1026 hPa,9.0 °C
80%,1024 hPa,9 °C
79%,1025 hPa,5.0 °C
86%,1024 hPa,5 °C
89%,1025 hPa,2.0 °C
80%,1024 hPa,2 °C
75%,1025 hPa,1.0 °C
75%,1024 hPa,1 °C
69%,1025 hPa,0.0 °C
61%,1024 hPa,0 °C
47%,1024 hPa,3.0 °C
37%,1023 hPa,3 °C
25%,1024 hPa,6.0 °C
32%,1023 hPa,6 °C
20%,1023 hPa,7.0 °C
35%,1022 hPa,7 °C
21%,1022 hPa,7.0 °C
32%,1022 hPa,7 °C
20%,1022 hPa,8.0 °C
37%,1022 hPa,8 °C
24%,1022 hPa,7.0 °C
45%,1022 hPa,7 °C
29%,1022 hPa,5.0 °C
52%,1022 hPa,5 °C
38%,1023 hPa,2.0 °C
75%,1022 hPa,2 °C
68%,1023 hPa,2.0 °C
93%,1022 hPa,2 °C
81%,1023 hPa,2.0 °C
86%,1022 hPa,2 °C
85%,1023 hPa,2.0 °C
93%,1022 hPa,2 °C
95%,1023 hPa,2.0 °C
93%,1022 hPa,2 °C
95%,1023 hPa,2.0 °C
100%,1022 hPa,2 °C
100%,1023 hPa,2.0 °C
100%,1022 hPa,2 °C
98%,1023 hPa,2.0 °C
100%,1022 hPa,2 °C
98%,1023 hPa,2.0 °C
100%,1022 hPa,2 °C
98%,1023 hPa,2.0 °C
100%,1022 hPa,2 °C
98%,1023 hPa,3.0 °C
100%,1022 hPa,3 °C
98%,1022 hPa,2.0 °C
93%,1021 hPa,2 °C
92%,1022 hPa,2.0 °C
100%,1021 hPa,2 °C
92%,1022 hPa,2.0 °C
93%,1021 hPa,2 °C
94%,1022 hPa,2.0 °C
100%,1021 hPa,2 °C
98%,1022 hPa,3.0 °C
93%,1021 hPa,3 °C
87%,1022 hPa,5.0 °C
93%,1021 hPa,5 °C
88%,1022 hPa,7.0 °C
81%,1020 hPa,7 °C
78%,1021 hPa,8.0 °C
81%,1019 hPa,8 °C
76%,1020 hPa,8.0 °C
81%,1018 hPa,8 °C
72%,1019 hPa,8.0 °C
81%,1018 hPa,8 °C
75%,1018 hPa,8 °C
81%,1018 hPa,8.0 °C
78%,1018 hPa,8 °C
93%,1017 hPa,5.0 °C
87%,1018 hPa,5 °C
100%,1017 hPa,3.0 °C
99%,1018 hPa,3 °C
100%,1017 hPa,1.0 °C
100%,1018 hPa,1 °C
100%,1017 hPa,0.0 °C
98%,1018 hPa,0 °C
93%,1016 hPa,2.0 °C
88%,1017 hPa,2 °C
93%,1016 hPa,4.0 °C
89%,1017 hPa,4 °C
87%,1016 hPa,5.0 °C
81%,1017 hPa,5 °C
75%,1016 hPa,5.0 °C
67%,1017 hPa,5 °C
75%,1016 hPa,6.0 °C
64%,1017 hPa,6 °C
70%,1016 hPa,6.0 °C
59%,1017 hPa,6 °C
70%,1016 hPa,4.0 °C
57%,1017 hPa,4 °C
65%,1016 hPa,2.0 °C
53%,1017 hPa,2 °C
70%,1016 hPa,1.0 °C
60%,1017 hPa,1 °C
70%,1017 hPa,0.0 °C
59%,1018 hPa,0 °C
75%,1018 hPa,2.0 °C
64%,1019 hPa,2 °C
75%,1019 hPa,5.0 °C
67%,1020 hPa,5 °C
75%,1020 hPa,6.0 °C
68%,1021 hPa,6 °C
65%,1022 hPa,6.0 °C
51%,1022 hPa,6 °C
53%,1022 hPa,6.0 °C
40%,1023 hPa,6 °C
43%,1022 hPa,5.0 °C
32%,1023 hPa,5 °C
43%,1022 hPa,4.0 °C
29%,1023 hPa,4 °C
40%,1022 hPa,3.0 °C
26%,1022 hPa,3 °C
26%,1022 hPa,1.0 °C
40%,1022 hPa,1 °C
25%,1022 hPa,0.0 °C
49%,1022 hPa,0 °C
34%,1022 hPa,0.0 °C
60%,1022 hPa,0 °C
47%,1022 hPa,1.0 °C
70%,1021 hPa,1 °C
60%,1022 hPa,2.0 °C
80%,1022 hPa,2 °C
73%,1022 hPa,2.0 °C
86%,1022 hPa,2 °C
76%,1023 hPa,2.0 °C
93%,1022 hPa,2 °C
83%,1023 hPa,2.0 °C
86%,1022 hPa,2 °C
84%,1022 hPa,1.0 °C
86%,1022 hPa,1 °C
85%,1022 hPa,0.0 °C
93%,1021 hPa,0 °C
88%,1022 hPa,1.0 °C
93%,1020 hPa,1 °C
87%,1021 hPa,2.0 °C
93%,1020 hPa,2 °C
88%,1020 hPa,2.0 °C
86%,1019 hPa,2 °C
86%,1020 hPa,2.0 °C
93%,1018 hPa,2 °C
84%,1018 hPa,0
93%,1017 hPa,0
83%,1017 hPa,0
80%,1016 hPa,0
77%,1016 hPa,0
86%,1015 hPa,0
78%,1016 hPa,0
86%,1014 hPa,0
83%,1015 hPa,0
93%,1013 hPa,0
83%,1014 hPa,0
65%,1013 hPa,0
56%,1014 hPa,0
52%,1012 hPa,0
41%,1013 hPa,0
49%,1010 hPa,0
37%,1011 hPa,0
49%,1009 hPa,0
35%,1010 hPa,0
53%,1008 hPa,0
38%,1009 hPa,0
53%,1008 hPa,0
41%,1009 hPa,0
61%,1008 hPa,0
51%,1009 hPa,0
70%,1007 hPa,0
63%,1008 hPa,0
75%,1007 hPa,0
70%,1008 hPa,0
80%,1007 hPa,0
73%,1008 hPa,0
86%,1008 hPa,0
75%,1009 hPa,0
86%,1008 hPa,0
78%,1009 hPa,0
86%,1008 hPa,0.0 °C
85%,1009 hPa,0 °C
93%,1008 hPa,1.0 °C
83%,1009 hPa,1 °C
93%,1009 hPa,3.0 °C
83%,1009 hPa,3 °C
86%,1009 hPa,3.0 °C
86%,1009 hPa,3 °C
93%,1009 hPa,2.0 °C
88%,1010 hPa,2 °C
93%,1009 hPa,2.0 °C
86%,1010 hPa,2 °C
93%,1009 hPa,0.0 °C
88%,1010 hPa,0.0 °C
93%,1009 hPa,0 °C
88%,1010 hPa,0 °C
93%,1010 hPa,1.0 °C
88%,1010 hPa,1 °C
80%,1010 hPa,1.0 °C
